target,steps,waste,sample,buffer
258,9,2,1,3
259,10,2,1,3
260,8,2,1,3
261,10,2,1,3
262,9,2,1,3
263,10,2,1,3
264,7,2,1,3
265,10,2,1,3
266,9,2,1,3
267,10,2,1,3
268,8,2,1,3
269,10,2,1,3
270,9,2,1,3
271,10,3,1,4
271,10,3,2,3
272,6,2,1,3
273,10,2,1,3
274,9,2,1,3
275,10,2,1,3
276,8,2,1,3
277,10,2,1,3
278,9,2,1,3
279,10,2,1,3
280,7,2,1,3
281,10,2,1,3
282,9,2,1,3
283,10,3,1,4
283,10,3,2,3
284,8,2,1,3
285,10,2,1,3
286,9,3,1,4
286,9,3,2,3
287,10,2,1,3
288,5,2,1,3
289,10,3,1,4
289,10,3,2,3
290,9,2,1,3
291,10,2,1,3
292,8,2,1,3
293,10,3,2,3
293,10,4,1,5
294,9,2,1,3
295,10,3,2,3
295,10,4,1,5
296,7,2,1,3
297,10,2,1,3
298,9,2,1,3
299,10,2,1,3
300,8,2,1,3
301,10,3,2,3
301,10,4,1,5
302,9,2,1,3
303,10,3,2,3
303,10,4,1,5
304,6,2,1,3
305,10,3,2,3
305,10,4,1,5
306,9,3,1,4
306,9,3,2,3
307,10,3,2,3
307,10,4,1,5
308,8,3,1,4
308,8,3,2,3
309,10,3,1,4
309,10,3,2,3
310,9,3,1,4
310,9,3,2,3
311,10,3,1,4
311,10,3,2,3
312,7,2,1,3
313,10,3,1,4
313,10,3,2,3
314,9,3,1,4
314,9,3,2,3
315,10,3,1,4
315,10,3,2,3
316,8,3,1,4
316,8,3,2,3
317,10,3,1,4
317,10,3,2,3
318,9,3,1,4
318,9,3,2,3
319,10,3,1,4
319,10,3,2,3
320,4,1,1,2
321,10,3,1,4
321,10,3,2,3
322,9,3,1,4
322,9,3,2,3
323,10,3,1,4
323,10,3,2,3
324,8,3,1,4
324,8,3,2,3
325,10,3,1,4
325,10,3,2,3
326,9,3,1,4
326,9,3,2,3
327,10,3,1,4
327,10,3,2,3
328,7,3,1,4
328,7,3,2,3
329,10,3,1,4
329,10,3,2,3
330,9,3,1,4
330,9,3,2,3
331,10,3,1,4
331,10,3,2,3
332,8,3,1,4
332,8,3,2,3
333,10,3,2,3
333,10,4,1,5
334,9,3,1,4
334,9,3,2,3
335,10,3,2,3
335,10,4,1,5
336,6,1,1,2
337,10,3,2,3
337,10,4,1,5
338,9,3,2,3
338,9,4,1,5
339,10,3,2,3
339,10,4,1,5
340,8,1,1,2
341,10,1,1,2
342,9,1,1,2
343,10,3,2,3
343,10,5,5,2
344,7,1,1,2
345,10,3,2,3
345,10,4,4,2
346,9,3,2,3
346,9,4,4,2
347,10,3,2,3
347,10,4,4,2
348,8,3,2,3
348,8,4,4,2
349,10,3,2,3
349,10,4,4,2
350,9,3,2,3
350,9,4,4,2
351,10,3,2,3
351,10,4,4,2
352,5,1,1,2
353,10,3,2,3
353,10,4,4,2
354,9,3,2,3
354,9,4,4,2
355,10,3,2,3
355,10,4,4,2
356,8,3,2,3
356,8,3,3,2
357,10,3,2,3
357,10,4,4,2
358,9,3,2,3
358,9,4,4,2
359,10,3,2,3
359,10,4,4,2
360,7,3,2,3
360,7,3,3,2
361,10,3,2,3
361,10,3,3,2
362,9,3,2,3
362,9,3,3,2
363,10,3,2,3
363,10,3,3,2
364,8,3,2,3
364,8,3,3,2
365,10,3,2,3
365,10,3,3,2
366,9,3,2,3
366,9,3,3,2
367,10,3,2,3
367,10,3,3,2
368,6,3,2,3
368,6,3,3,2
369,10,3,2,3
369,10,4,4,2
370,9,3,2,3
370,9,3,3,2
371,10,3,2,3
371,10,3,3,2
372,8,3,2,3
372,8,3,3,2
373,10,3,2,3
373,10,3,3,2
374,9,3,2,3
374,9,3,3,2
375,10,3,2,3
375,10,3,3,2
376,7,3,2,3
376,7,3,3,2
377,10,3,2,3
377,10,3,3,2
378,9,3,2,3
378,9,3,3,2
379,10,3,2,3
379,10,3,3,2
380,8,3,2,3
380,8,3,3,2
381,10,3,2,3
381,10,3,3,2
382,9,3,2,3
382,9,3,3,2
383,10,3,2,3
383,10,3,3,2
384,3,1,1,2
385,10,3,2,3
385,10,3,3,2
386,9,3,2,3
386,9,3,3,2
387,10,3,2,3
387,10,3,3,2
388,8,3,2,3
388,8,3,3,2
389,10,3,2,3
389,10,3,3,2
390,9,3,2,3
390,9,3,3,2
391,10,3,2,3
391,10,3,3,2
392,7,3,2,3
392,7,3,3,2
393,10,3,2,3
393,10,3,3,2
394,9,3,2,3
394,9,3,3,2
395,10,3,2,3
395,10,3,3,2
396,8,3,2,3
396,8,3,3,2
397,10,3,2,3
397,10,3,3,2
398,9,3,2,3
398,9,3,3,2
399,10,3,2,3
399,10,4,4,2
400,6,2,2,2
401,10,3,2,3
401,10,3,3,2
402,9,3,2,3
402,9,3,3,2
403,10,3,2,3
403,10,3,3,2
404,8,3,2,3
404,8,3,3,2
405,10,3,2,3
405,10,3,3,2
406,9,3,2,3
406,9,3,3,2
407,10,3,2,3
407,10,3,3,2
408,7,3,2,3
408,7,3,3,2
409,10,3,2,3
409,10,4,4,2
410,9,3,2,3
410,9,4,4,2
411,10,3,2,3
411,10,4,4,2
412,8,3,2,3
412,8,3,3,2
413,10,3,2,3
413,10,4,4,2
414,9,3,2,3
414,9,4,4,2
415,10,3,2,3
415,10,4,4,2
416,5,2,2,2
417,10,3,2,3
417,10,4,4,2
418,9,3,2,3
418,9,4,4,2
419,10,3,2,3
419,10,4,4,2
420,8,2,2,2
421,10,3,2,3
421,10,4,4,2
422,9,3,2,3
422,9,4,4,2
423,10,3,2,3
423,10,4,4,2
424,7,2,2,2
425,10,2,2,2
426,9,2,2,2
427,10,2,2,2
428,8,2,2,2
429,10,3,2,3
429,10,4,4,2
430,9,2,2,2
431,10,3,2,3
431,10,4,4,2
432,6,2,2,2
433,10,3,2,3
433,10,4,4,2
434,9,3,2,3
434,9,4,4,2
435,10,3,2,3
435,10,4,4,2
436,8,2,2,2
437,10,3,2,3
437,10,4,4,2
438,9,3,2,3
438,9,4,4,2
439,10,3,2,3
439,10,4,4,2
440,7,2,2,2
441,10,2,2,2
442,9,2,2,2
443,10,3,2,3
443,10,4,4,2
444,8,2,2,2
445,10,2,2,2
446,9,3,2,3
446,9,3,3,2
447,10,2,2,2
448,4,2,2,2
449,10,3,2,3
449,10,3,3,2
450,9,2,2,2
451,10,2,2,2
452,8,3,2,3
452,8,3,3,2
453,10,3,2,3
453,10,3,3,2
454,9,2,2,2
455,10,3,2,3
455,10,3,3,2
456,7,2,2,2
457,10,3,2,3
457,10,3,3,2
458,9,3,2,3
458,9,3,3,2
459,10,3,2,3
459,10,3,3,2
460,8,2,2,2
461,10,2,2,2
462,9,2,2,2
463,10,2,2,2
464,6,2,2,2
465,10,2,2,2
466,9,2,2,2
467,10,2,2,2
468,8,2,2,2
469,10,2,2,2
470,9,2,2,2
471,10,2,2,2
472,7,2,2,2
473,10,2,2,2
474,9,2,2,2
475,10,2,2,2
476,8,2,2,2
477,10,2,2,2
478,9,2,2,2
479,10,2,2,2
480,5,2,2,2
481,10,2,2,2
482,9,3,2,3
482,9,3,3,2
483,10,2,2,2
484,8,2,2,2
485,10,2,2,2
486,9,2,2,2
487,10,2,2,2
488,7,2,2,2
489,10,2,2,2
490,9,2,2,2
491,10,2,2,2
492,8,2,2,2
493,10,2,2,2
494,9,2,2,2
495,10,2,2,2
496,6,2,2,2
497,10,2,2,2
498,9,2,2,2
499,10,2,2,2
500,8,2,2,2
501,10,2,2,2
502,9,2,2,2
503,10,2,2,2
504,7,2,2,2
505,10,2,2,2
506,9,2,2,2
507,10,2,2,2
508,8,2,2,2
509,10,2,2,2
510,9,2,2,2
511,10,2,2,2
512,1,0,1,1
513,10,2,2,2
514,9,2,2,2
515,10,2,2,2
516,8,2,2,2
517,10,2,2,2
518,9,2,2,2
519,10,2,2,2
520,7,2,2,2
521,10,2,2,2
522,9,2,2,2
523,10,2,2,2
524,8,2,2,2
525,10,2,2,2
526,9,2,2,2
527,10,2,2,2
528,6,2,2,2
529,10,2,2,2
530,9,2,2,2
531,10,2,2,2
532,8,2,2,2
533,10,2,2,2
534,9,2,2,2
535,10,2,2,2
536,7,2,2,2
537,10,2,2,2
538,9,2,2,2
539,10,2,2,2
540,8,2,2,2
541,10,2,2,2
542,9,3,2,3
542,9,3,3,2
543,10,2,2,2
544,5,2,2,2
545,10,2,2,2
546,9,2,2,2
547,10,2,2,2
548,8,2,2,2
549,10,2,2,2
550,9,2,2,2
551,10,2,2,2
552,7,2,2,2
553,10,2,2,2
554,9,2,2,2
555,10,2,2,2
556,8,2,2,2
557,10,2,2,2
558,9,2,2,2
559,10,2,2,2
560,6,2,2,2
561,10,2,2,2
562,9,2,2,2
563,10,2,2,2
564,8,2,2,2
565,10,3,2,3
565,10,3,3,2
566,9,3,2,3
566,9,3,3,2
567,10,3,2,3
567,10,3,3,2
568,7,2,2,2
569,10,3,2,3
569,10,3,3,2
570,9,2,2,2
571,10,3,2,3
571,10,3,3,2
572,8,3,2,3
572,8,3,3,2
573,10,2,2,2
574,9,2,2,2
575,10,3,2,3
575,10,3,3,2
576,4,2,2,2
577,10,2,2,2
578,9,3,2,3
578,9,3,3,2
579,10,2,2,2
580,8,2,2,2
581,10,3,3,2
581,10,4,2,4
582,9,2,2,2
583,10,2,2,2
584,7,2,2,2
585,10,3,3,2
585,10,4,2,4
586,9,3,3,2
586,9,4,2,4
587,10,3,3,2
587,10,4,2,4
588,8,2,2,2
589,10,3,3,2
589,10,4,2,4
590,9,3,3,2
590,9,4,2,4
591,10,3,3,2
591,10,4,2,4
592,6,2,2,2
593,10,3,3,2
593,10,4,2,4
594,9,2,2,2
595,10,3,3,2
595,10,4,2,4
596,8,2,2,2
597,10,2,2,2
598,9,2,2,2
599,10,2,2,2
600,7,2,2,2
601,10,3,3,2
601,10,4,2,4
602,9,3,3,2
602,9,4,2,4
603,10,3,3,2
603,10,4,2,4
604,8,2,2,2
605,10,3,3,2
605,10,4,2,4
606,9,3,3,2
606,9,4,2,4
607,10,3,3,2
607,10,4,2,4
608,5,2,2,2
609,10,3,3,2
609,10,4,2,4
610,9,3,3,2
610,9,4,2,4
611,10,3,3,2
611,10,4,2,4
612,8,3,2,3
612,8,3,3,2
613,10,3,3,2
613,10,4,2,4
614,9,3,3,2
614,9,4,2,4
615,10,3,3,2
615,10,4,2,4
616,7,3,2,3
616,7,3,3,2
617,10,3,2,3
617,10,3,3,2
618,9,3,2,3
618,9,3,3,2
619,10,3,2,3
619,10,3,3,2
620,8,3,2,3
620,8,3,3,2
621,10,3,2,3
621,10,3,3,2
622,9,3,2,3
622,9,3,3,2
623,10,3,2,3
623,10,3,3,2
624,6,2,2,2
625,10,3,3,2
625,10,4,2,4
626,9,3,2,3
626,9,3,3,2
627,10,3,2,3
627,10,3,3,2
628,8,3,2,3
628,8,3,3,2
629,10,3,2,3
629,10,3,3,2
630,9,3,2,3
630,9,3,3,2
631,10,3,2,3
631,10,3,3,2
632,7,3,2,3
632,7,3,3,2
633,10,3,2,3
633,10,3,3,2
634,9,3,2,3
634,9,3,3,2
635,10,3,2,3
635,10,3,3,2
636,8,3,2,3
636,8,3,3,2
637,10,3,2,3
637,10,3,3,2
638,9,3,2,3
638,9,3,3,2
639,10,3,2,3
639,10,3,3,2
640,3,1,2,1
