target,steps,waste,sample,buffer
1004,8,5,6,1
1005,10,6,7,1
1006,9,6,7,1
1007,10,6,7,1
1008,6,5,6,1
1009,10,6,7,1
1010,9,6,7,1
1011,10,6,7,1
1012,8,6,7,1
1013,10,6,7,1
1014,9,6,7,1
1015,10,7,8,1
1016,7,6,7,1
1017,10,7,8,1
1018,9,7,8,1
1019,10,7,8,1
1020,8,7,8,1
1021,10,8,9,1
1022,9,8,9,1
1023,10,9,10,1
